response,response_correct,response_frequency,spelling_check,acronym_check,acronym_candidate
Abmagerung,,1,likely misspelled,,
Athletik,,1,likely misspelled,,
Attraktivität,,13,likely misspelled,,
Ausdauer,,1,likely misspelled,,
Ausgeglichenheit,,5,likely misspelled,,
Ausgewogenheit,,1,likely misspelled,,
Bewegungsmangel,,1,likely misspelled,,
Bodybuilding,,2,,,
Diät,,8,likely misspelled,,
Durchsetzungsvermögen,,1,likely misspelled,,
Energie,,1,likely misspelled,,
Energieverlust,,4,likely misspelled,,
erhöhtes Krankheitsrisiko,,1,likely misspelled,,
Ernährung,,1,likely misspelled,,
Ernährungsbalance,,1,likely misspelled,,
Ernährungsberatung,,1,likely misspelled,,
Ernährungsgewohnheiten,,2,likely misspelled,,
Ernährungsmangel,,1,likely misspelled,,
Ernährungsumstellung,,3,likely misspelled,,
Ernährungszusatz,,1,likely misspelled,,
Erschöpfung,,2,likely misspelled,,
Fettleibigkeit,,8,likely misspelled,,
Fettpolster,,1,likely misspelled,,
Fitness,,12,,,
Fitnessstudio,,5,likely misspelled,,
Fitnesstraining,,1,likely misspelled,,
Gesundheit,,11,,,
Gesundheitsprobleme,,10,likely misspelled,,
Gesundheitsrisiken,,7,likely misspelled,,
Gesundheitsrisiko,,2,likely misspelled,,
Idealgewicht,,4,likely misspelled,,
Körperbau,,1,likely misspelled,,
Kraft,,7,,,
Krafttraining,,1,likely misspelled,,
Krankheit,,5,likely misspelled,,
Mangelernährung,,10,likely misspelled,,
Medizinische Behandlung,,1,likely misspelled,,
Muskelaufbau,,2,likely misspelled,,
Schlankheit,,1,likely misspelled,,
Schwäche,,9,likely misspelled,,
Schwierigkeiten,,1,likely misspelled,,
Schwierigkeiten beim Gehen,,1,likely misspelled,,
Schwierigkeiten beim Sport,,1,likely misspelled,,
Selbstbewusstsein,,5,likely misspelled,,
Selbstbewusstseinsverlust,,4,likely misspelled,,
Selbstsicherheit,,2,likely misspelled,,
Selbstvertrauen,,2,likely misspelled,,
Sport,,4,,,
Sportlichkeit,,3,likely misspelled,,
Stärke,,3,likely misspelled,,
Trainingsplan,,1,likely misspelled,,
Übergewicht,,7,likely misspelled,,
unattraktives Aussehen,,2,likely misspelled,,
Untergewicht,,4,likely misspelled,,
Wohlbefinden,,10,likely misspelled,,
